"","SAMP1_S1","SAMP1_S2","SAMP1_S3","SAMP1_S4","SAMP2_S1","SAMP2_S2","SAMP2_S3","SAMP2_S4","SAMP3_S1","SAMP3_S2","SAMP3_S3","SAMP3_S4","SAMP4_S1","SAMP4_S2","SAMP4_S3","SAMP4_S4","SAMP5_S1","SAMP5_S2","SAMP5_S3","SAMP5_S4","SAMP6_S1","SAMP6_S2","SAMP6_S3","SAMP6_S4","SAMP7_S1","SAMP7_S2","SAMP7_S3","SAMP7_S4","SAMP8_S1","SAMP8_S2","SAMP8_S3","SAMP8_S4"
"SAMP1_S1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP1_S2",1.30176107919866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP1_S3",1.71695903181382,0.0320090471293853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP1_S4",-0.542089561223456,3.21114437074709,3.74077008124643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP2_S1",-0.116476920675854,4.03107652851004,3.41467526165364,0.250245534930688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP2_S2",6.79249533161873,3.23994692699545,3.5034725469004,8.55089213044217,10.6897617775481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP2_S3",-0.276917258080202,1.0994522669465,1.50690705081589,1.74821585166251,0.737423955693963,1.91219734236907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP2_S4",2.84874437793052,-0.841631753153925,-1.17020879225874,2.99130585722257,6.47194698850305,1.26559303001937,-2.381163885298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP3_S1",5.11509048902352,1.66598930746311,1.59516775866669,7.10886838798665,9.10208240828947,2.28204636961709,0.584807077264905,0.101272702700834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP3_S2",2.54908684249154,3.45394027612992,2.06252381669265,3.12162070179991,5.1903704839125,-0.158534103597851,-0.800862848355806,-0.776345950249728,0.740818311607987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP3_S3",2.38807622641809,1.08778839907189,2.50984382954287,4.66318071608124,3.80105382262792,4.83201806198049,1.86353737971644,0.213884601250064,3.50681194629749,1.1117668490247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP3_S4",-1.34356126965465,2.98279531762955,2.9074733878224,0.236045522189746,3.94155192511624,6.32440716368734,-1.44249876394319,1.46304149801682,6.20448483012783,3.0252752421494,2.25542586284522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP4_S1",0.167427122384483,1.30850600660254,2.96910064003062,0.429133202575514,1.08584055632074,2.26411812051645,0.789603431488207,-0.141133056922943,1.93364141033288,2.09372724958554,2.45707852120783,1.18390113823057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP4_S2",2.64786058286542,0.596623927939769,0.0819879091471116,3.99867987240821,5.29078161533951,1.94532323261817,-0.296348021401566,-1.66296563526713,-0.444781427383276,1.13438134603464,-0.277367185812459,1.35862752799582,0.417363443620852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP4_S3",4.18035864725074,1.71282542176477,1.9025942059525,7.20959118890509,7.72950538821898,3.27282903788285,2.01739876970359,-0.881956688060745,1.96008917061292,1.0486709805291,3.16804441941247,1.9744326038604,5.09346354842128,0.0733158418953523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP4_S4",2.64636641731681,0.834833536695728,0.425889863375245,2.99321302416119,4.79016884062966,4.6418481501629,0.126096539326202,0.579311618949843,4.28116744575562,1.80744683691871,0.925213989615451,0.337289752252306,-0.0834085728977126,1.16473641671665,0.949914262550895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP5_S1",0.814299535337527,0.588330787861274,1.59268939270447,1.05151782640459,3.90995503716968,4.50501854345793,3.43402330555433,0.206048723619293,2.66566792691287,3.56368787541423,0.936160349269977,1.1355726078314,-0.234574370290917,-0.209779351056498,1.74924671675526,1.35724455589784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP5_S2",-0.132879622774228,1.11667076659194,2.09448503968906,1.94018657236515,1.84339495743502,5.59179055748914,3.77904655124279,-0.0500057920269571,2.70037332901645,2.43029575712289,4.42900450677824,1.08419794452241,0.0971436288498989,0.0499030053579922,3.71219235087548,-0.014139369199056,1.04799815114874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP5_S3",3.71504023335442,1.76476709857518,1.54588771723653,6.48442840081341,8.24886577732037,8.4196988315238,5.52361503898586,-0.31005490450368,3.62788822551714,4.29196415842659,4.48497342683136,0.822429138169759,2.2754119572639,0.372224276797478,1.01299178967849,1.25294483524259,0.224263655563142,1.80920248010854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP5_S4",-0.218378955691066,2.57781504162484,2.42782575098063,1.07233044305037,2.89563113295409,3.99577461733903,1.21685233669594,-0.921718539751491,3.66164896548832,0.80261110566974,1.49049295258558,0.53957250693662,1.1599583389306,1.12613891536546,1.41416190203624,-1.02277530621898,-0.285846457195014,1.87642865958548,2.0321559408227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP6_S1",2.82855263373607,-0.66032143650172,0.314607888233972,4.08716574916697,5.3613294097929,1.24164073221538,-0.322099933160887,-1.6657846057878,-1.11189686204119,-1.01009649966843,-0.117654320695141,0.806334472889645,0.482252989739464,-3.20271717344184,-1.02652478219003,1.22373549997953,-0.00724732510652201,1.11812108867467,-0.726280682260821,0.454255838306474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP6_S2",0.150881058273872,-0.481367371441227,0.958807721806327,0.496729722705635,1.57472514463892,6.23769725676979,3.97729584670406,-1.2195296350506,1.88502161184294,2.8783476774908,0.269014925762262,-0.809002937324993,-0.439626218924589,-1.20660980286254,0.462078179557498,-0.987335880820347,0.324871284532999,1.78425203504074,-0.088762301754663,-0.367866536059025,0.989608283787854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP6_S3",3.66015597018648,0.472780733689707,3.07008224824756,5.15464234049341,3.65628631787483,8.3730017270261,4.47797753713003,-0.518429874467433,5.4785591605081,4.02439645300771,1.95869779417648,-0.699827736008993,1.87076971340878,0.433653551529011,2.25875511240388,-0.224370650857233,1.00404009186187,3.07838394415626,1.0228959022239,1.58345597513673,1.857160066006,0.838977787440648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP6_S4",3.64080978071598,2.9383295637452,0.77689079686993,4.36992443585093,7.07834300773632,4.51774686602158,1.67819252910462,-0.155388035240322,2.01995855244354,2.51976273981054,3.63340057935925,3.04480800878138,1.79049741321217,-0.251590519341714,2.49244329404759,1.74494682805225,0.95562478040565,0.909112997135908,1.82599086315872,-0.339852580771756,3.0926528610209,-0.6097746502102,0.588301308832577,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP7_S1",-0.651033076165127,0.421838921309837,0.913850870020454,1.49055134047386,3.4196695653556,6.47659973988574,1.32708679825731,0.0529167974267424,2.54648340216753,2.87886624965652,1.11523854686946,1.11665958149555,0.918427137254721,-0.7651310848063,1.82521641287946,0.288462440137457,0.0781087639744438,-0.642860398208673,0.622207224333959,0.132623522509856,0.344198318908978,-1.88402304552277,0.708504934385832,-0.163773352004572,NA,NA,NA,NA,NA,NA,NA,NA
"SAMP7_S2",2.82596985205456,-0.399783448771779,0.211567949677076,3.83574656980419,5.18921510475093,3.80480887962427,-1.34528517560103,-0.474208295818809,1.26172001529162,1.62461889149668,-0.643724182037936,1.121564208139,-0.187332242132134,-2.60776846275434,-1.31804181543062,1.15124481661761,0.409606196224459,0.0591023262624963,0.00422081938614076,-0.122512136982256,-1.87209882289748,-1.62756158400581,-0.443803263254374,1.44512592824579,0.0569516748791409,NA,NA,NA,NA,NA,NA,NA
"SAMP7_S3",-0.593049169819131,1.82825653345612,4.18310470588739,0.447303902567447,0.69838072026887,6.92434554790821,2.89298859048947,0.996032292538805,3.96782927299176,4.20001426858386,4.96226046499405,3.55742923948195,1.66621155236171,1.79138763206115,5.7202108007249,3.16544054107059,-0.251566608196443,2.18792340989436,2.73107020402727,3.09610630930996,2.83823230017785,0.591907286260586,3.96937363720225,3.55006237552684,0.74561085054685,1.24513195973758,NA,NA,NA,NA,NA,NA
"SAMP7_S4",4.56582940271632,-1.32575935008632,-0.225746375158536,1.90905741946423,8.71167555387975,2.44110745397836,-1.75548690481899,0.635449255990252,1.02852187520375,-0.641695114601135,-0.425561839738576,0.144158088881446,-0.567266975209649,-1.96530538651872,-0.761080310418628,0.62514490648852,5.3729454194986,-0.0656738112668714,3.89115977205109,-2.37495737062848,-1.01755914617546,-0.668515786014759,0.875168182598116,-0.103653777647606,0.676268425631064,-0.809370642485505,0.171920959141078,NA,NA,NA,NA,NA
"SAMP8_S1",2.52570118447447,0.55206745330545,2.11738341234138,5.30076974840525,5.8915253726139,2.18107956329271,1.9847914986268,-0.36398237787437,1.63953151584647,0.761634842000223,1.61242355350362,2.865201726244,3.01066411690714,-1.13872225448245,1.53869378795715,2.83492467933751,0.0176007982241237,1.90397395014901,2.61997286253677,2.23977133821048,-0.563325280207529,-0.179599169111735,2.70176521887015,1.93844001506088,1.93707180145587,-0.245190353011263,1.83973608133085,-1.29220868770491,NA,NA,NA,NA
"SAMP8_S2",6.6318233273213,3.43555011242017,2.99729387270269,9.73631152581882,10.4494442066438,4.05575136463534,2.3370223507011,0.792899009206759,1.19621526297395,2.52746325560842,4.56001253043073,5.57889584747893,3.20576865026953,0.0958409980755386,2.77976210905864,4.10263282486158,4.96337152932341,4.36467644950286,4.58082439818854,5.96989513773612,-1.20154621033091,3.45568584734117,6.2011731037399,4.02230862982588,3.40148226944295,1.18141931496138,4.94169956406088,0.795792521275839,1.76027717053105,NA,NA,NA
"SAMP8_S3",1.85312125013545,0.321838791433982,2.14887070313319,1.34381002357304,4.08888016050215,3.59757072501739,1.01907508587269,0.0305905199502534,1.54006429913997,1.64011969895716,0.927331190988052,-0.0360172332267003,1.03142213979479,-0.548191800757033,4.44378390102458,1.94866726914473,1.25196662719356,2.10615935860957,0.286343866842035,-0.389440616603326,-0.473064573245784,0.38567716636773,2.30678873907912,3.15864645812001,-0.483347684154378,-0.964649148534523,1.85286047070495,0.0211437718910398,-0.167643068598498,2.24526624623785,NA,NA
"SAMP8_S4",1.79625242140299,2.11058611403627,1.15739078688639,1.73023230696908,4.6789382309735,2.22204658644541,-0.125709847518911,0.610034993804187,2.71132158126396,1.21883031610354,3.13687547070588,3.48792120283458,-0.132730317054784,0.0297898906032171,1.44370567172855,1.55158882935255,1.35683002787949,1.34848728727298,5.73947794356117,-0.357802925392372,0.0563878743364272,0.890852484512081,2.56313006337522,1.15935010961462,0.15616877434985,0.85562788918341,2.35800170041997,-1.86270201689056,1.17915331944631,2.83175113844382,-0.524192505239931,NA
