Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
bin277,4,0,0,0.153746085,1,3,-0.464990555,0
bin276,5,4.583333333,11,0.004429679,0.5,4,0.942954167,0
bin275,11,101.4424908,3615,0.322641825,0.454545455,3,1.627466942,0.165289256
bin274,6,483.991746,4382,1.02E-06,0.333333333,2,1.075887655,0.277777778
bin273,5,938.75,20547,0.019143932,0.4,4,0.942954167,0
bin272,3,7.892857143,20,0.043636278,0,3,-0.813733471,0
bin269,7,1828.829396,40850,0.124706139,0.142857143,4,-0.992583334,0.571428571
bin268,1,0,0,9.37E-41,0,19,0,0
bin267,1,0,0,0.015050587,0,3,-1.511219304,0
bin263,1,0,0,9.37E-41,0,19,0,0
bin262,1,0,0,6.57E-32,0,7,-1,0
bin261,1,0,0,9.37E-41,0,13,0,0
bin259,3,0,0,0.019952381,1,0,-0.532290647,0
bin257,1,0,0,1.51E-05,0,4,-1.637762501,0
bin254,1,0,0,0.031329955,0,0,-1.596871942,0
bin253,1,0,0,9.37E-41,0,18,0,0
bin252,1,0,0,9.80E-31,0,6,-1.224744871,0
bin251,10,83.64815593,1575,0.312893094,0.577777778,3,0.92998111,0.32
bin247,9,1452.271038,25880,5.70E-06,0.166666667,2,2.234535899,0.345679012
bin239,10,83.64815593,1575,0.312893094,0.577777778,3,0.92998111,0.32
bin237,3,86,3452,0.079532223,0.333333333,3,-0.813733471,0
bin236,1,0,0,9.80E-31,0,6,-1.224744871,0
bin232,6,58.52857143,2115,0.054768759,0.6,0,1.064581295,0
bin231,1,0,0,9.37E-41,0,11,0,0
bin229,11,461.6396825,10423,0.257999705,0.272727273,0,0.532290647,0.495867769
bin224,5,170.25,587,0.003532594,0.3,4,0.942954167,0
bin220,1,0,0,9.37E-41,0,14,0,0
bin219,1,0,0,9.37E-41,0,11,0,0
bin218,1,0,0,9.37E-41,0,9,0,0
bin217,1,0,0,9.37E-41,0,9,0,0
bin216,4,0.5,2,0.005737314,0.666666667,4,0.297775,0
bin213,4,110.2041026,1324,8.55E-07,0.333333333,5,0.471404521,0
bin210,6,190.8880952,6089,0.187340964,0.6,3,-0.464990555,0.5
bin209,1,0,0,9.37E-41,0,18,0,0
bin208,3,86,650,8.28E-07,0.333333333,2,-0.082760589,0
bin206,2,73.49208145,2027,0.010366777,0,0,-1.596871942,0.5
bin205,1,0,0,0.009657922,0,3,-1.511219304,0
bin204,2,0,0,1.83E-08,1,8,-0.39223227,0
bin203,1,0,0,1.01E-07,0,2,-1.241408833,0
bin201,6,1014.083333,20817,0.00454048,0.4,4,1.588133334,0
bin200,1,0,0,2.29E-10,0,1,-1.249390095,0
bin199,1,0,0,2.50E-09,0,8,-1.372812946,0
bin197,3,0,0,2.95E-07,1,2,-0.082760589,0
bin192,4,60.7984127,1770,2.84E-09,0.5,1,1.093216333,0
bin191,4,86.5,639,2.06E-08,0.333333333,8,1.568929081,0
bin190,2,2,2,1.06E-31,0,7,1,0
bin183,5,201.5234612,4094,0.081116766,0.1,3,-0.813733471,0.48
bin182,4,1970,41340,0.001011553,0.166666667,4,-0.347404167,0.375
bin181,2,420.1238095,6449,1.38E-07,0,1,-1.249390095,0.5
bin180,4,24.87076923,634,9.46E-07,0.666666667,5,0.471404521,0
bin178,1,0,0,1.57E-05,0,2,-1.241408833,0
bin177,4,332.5,2541,1.30E-07,0.333333333,8,0.588348405,0.375
bin176,2,3,3,1.96E-30,0,6,0.816496581,0
bin173,11,66.49957983,1490,0.327407583,0.509090909,3,1.627466942,0.165289256
bin170,1,0,0,1.02E-07,0,2,-1.241408833,0
bin169,4,133.682442,5832,1.66E-06,0.5,5,-0.176776695,0.375
bin165,2,0,0,0.00048827,1,4,-0.992583334,0
bin163,3,0,0,2.95E-07,1,2,-0.082760589,0
bin162,1,0,0,9.37E-41,0,10,0,0
bin161,5,118.6831933,3121,0.024138479,0.3,0,0.532290647,0
bin159,4,36.81679487,660,9.49E-07,0.5,5,0.471404521,0
bin157,7,584.2749206,8301,1.12E-06,0.285714286,2,1.655211777,0.244897959
bin156,10,83.64815593,1575,0.312893094,0.577777778,3,0.92998111,0.32
bin155,5,23.24722222,430,0.154284143,0.6,3,-0.464990555,0.32
bin154,6,132.996592,2253,0.123940398,0.2,3,-0.116247639,0.277777778
bin151,2,4,4,1.96E-30,0,6,0.816496581,0
bin147,1,0,0,9.37E-41,0,17,0,0
bin146,1,0,0,1.04E-07,0,5,-1.473139127,0
bin144,2,86,421,0.000124675,0,4,-0.992583334,0
bin140,1,0,0,9.37E-41,0,16,0,0
bin134,2,3,3,1.96E-30,0,6,0.816496581,0
bin133,9,695.7460379,15251,5.65E-06,0.138888889,5,2.415948169,0.345679012
bin131,3,70.68531136,2852,8.78E-07,0.333333333,5,-0.176776695,0
bin130,4,133.682442,5832,1.66E-06,0.5,5,-0.176776695,0.375
bin128,4,1910,40825,0.000129474,0.166666667,2,-0.082760589,0.375
bin123,5,84.14332579,2046,0.057084134,0.7,0,0.532290647,0
bin121,1,0,0,9.37E-41,0,15,0,0
bin118,4,60.7984127,1770,2.84E-09,0.5,1,1.093216333,0
bin117,1,0,0,9.37E-41,0,14,0,0
bin113,2,0,0,1.83E-08,1,8,-0.39223227,0
bin111,6,58.52857143,2115,0.054768759,0.6,0,1.064581295,0
bin110,1,0,0,9.37E-41,0,13,0,0
bin107,1,0,0,6.87E-07,0,5,-1.473139127,0
bin106,1,0,0,9.37E-41,0,12,0,0
bin101,2,0,0,0.00048827,1,4,-0.992583334,0
bin92,4,117.9619048,4604,1.89E-09,0.166666667,1,1.093216333,0
bin91,1,0,0,9.37E-41,0,12,0,0
bin88,2,203.8761905,10155,7.74E-08,0,1,-1.249390095,0.5
bin87,4,933.7320452,20287,1.95E-05,0.5,2,-0.082760589,0.375
bin84,6,138.7140756,4200,0.162892467,0.533333333,3,-0.116247639,0.277777778
bin77,1,0,0,0.000516438,0,0,-1.596871942,0
bin75,3,86,642,8.40E-07,0.333333333,2,-0.082760589,0
bin74,7,60.15555556,1146,0.043574422,0.285714286,0,1.596871942,0
bin71,4,838.75,20197,0.003535426,0.5,4,0.297775,0
bin70,1,0,0,6.57E-32,0,7,-1,0
bin68,3,3,10,9.64E-10,0.333333333,1,0.312347524,0
bin64,1,0,0,9.37E-41,0,15,0,0
bin61,1,0,0,9.37E-41,0,10,0,0
bin57,1,0,0,9.37E-41,0,16,0,0
bin53,5,84.14332579,2046,0.057084134,0.7,0,0.532290647,0
bin52,3,23.34778245,107,0.023273241,0,0,-1.064581295,0.444444444
bin51,4,352.1238095,5860,1.77E-08,0.166666667,1,1.093216333,0
bin48,5,865.0833333,20283,0.019132241,0.4,4,0.942954167,0
bin47,3,0.666666667,2,3.34E-07,0.666666667,5,-0.176776695,0
bin45,3,77.80991453,2873,9.04E-07,0.333333333,2,-0.662084711,0.444444444
bin44,4,933.7320452,20287,1.95E-05,0.5,2,-0.082760589,0.375
bin40,3,0,0,0.019952381,1,0,-0.532290647,0
bin29,5,84.14332579,2046,0.057084134,0.7,0,0.532290647,0
bin27,2,132.8761905,6788,9.63E-09,0,1,-0.468521286,0
bin26,6,58.52857143,2115,0.054768759,0.6,0,1.064581295,0
bin23,2,24.48888889,593,2.26E-09,0,1,-0.468521286,0
bin21,11,101.4424908,3615,0.322641825,0.454545455,3,1.627466942,0.165289256
bin19,6,190.8880952,6089,0.187340964,0.6,3,-0.464990555,0.5
bin18,6,138.7140756,4200,0.162892467,0.533333333,3,-0.116247639,0.277777778
bin15,12,1098.167839,19741,0.288202168,0.287878788,0,0,0.541666667
bin10,3,90.47527473,2101,0.004252827,0,0,-0.532290647,0
bin6,1,0,0,9.37E-41,0,17,0,0
bin5,5,295.786105,13609,6.28E-07,0.1,5,-0.176776695,0.56
bin1,2,2,2,1.06E-31,0,7,1,0
